"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","UI Automation Test Suite","0","Login Functionality","12","0","User Authentication and Login Page Interactions","0"
"0","UI Automation Test Suite","0","Home Page Navigation","4","0","Home Page Elements and Card Navigation","0"
"1","UI Automation Test Suite","9","Valuations and Financial Calculations","5","0","Valuations Page Navigation and Financial Formula Validation","0"
"0","UI Automation Test Suite","1","OTP Verification","7","0","OTP Page Functionality and Verification Flow","0"
"0","UI Automation Test Suite","1","Valuations and Financial Calculations","0","0","Valuations Search Functionality","0"
"0","UI Automation Test Suite","1","Valuations and Financial Calculations","0","0","End-to-End Valuations Workflow","0"
"0","UI Automation Test Suite","1","Valuations and Financial Calculations","0","0","Adjusted Profit Calculation Validation","0"
"0","UI Automation Test Suite","1","Valuations and Financial Calculations","0","0","JavaScript Value Extraction Demo","0"
"0","UI Automation Test Suite","0","Valuations and Financial Calculations","1","0","Valuations Search Filters Validation","0"
"0","UI Automation Test Suite","1","Valuations and Financial Calculations","0","0","Complete New Valuation Workflow","0"
"0","UI Automation Test Suite","1","Valuations and Financial Calculations","0","0","JavaScript Financial Calculations Test","0"
"1","UI Automation Test Suite","0","Valuations and Financial Calculations","0","0","Financial Expense Calculation Validation","0"
"0","UI Automation Test Suite","1","Valuations and Financial Calculations","0","0","Complete Valuation Workflow with Financials","0"
"0","UI Automation Test Suite","0","Valuations and Financial Calculations","1","0","Valuations Page Access via Card 2","0"
"0","UI Automation Test Suite","1","Valuations and Financial Calculations","0","0","Comprehensive Financial Calculations Validation","0"
"0","","0","","0","1","","0"
"0","UI Automation Test Suite","0","Valuations and Financial Calculations","1","0","New Valuation Dealership Selection","0"
"0","UI Automation Test Suite","1","Valuations and Financial Calculations","0","0","Radius Data Extraction Test","0"
